"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR29373","1. Seizure","Kenya","2020-07-21 00:00:00","6 pieces of elephant tusks seized in Kutus, Kirinyaga County - 2 arrested","https://citizentv.co.ke/news/kirinyaga-2-men-nabbed-with-elephant-tusks-worth-ksh-1m-339612/?utm_source=onesignal&utm_medium=notifications&utm_campaign=onesignal_notifications","Media","","","","","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR29384","1. Seizure","Kenya","2020-07-26 00:00:00","1 Elephant tusk seized in Endebess - 3 suspects (including a police officer) arrested","https://allafrica.com/stories/202007260044.html","Media","","","Land - Vehicle","Inside Vehicle","","Transported by motorbike.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR29613","1. Seizure","Kenya","2020-08-08 00:00:00","2 Elephant tusks (18 kg) seized in Emotoroki area, Kajiado county - 5 arrested","https://africanelephantjournal.com/five-arrested-in-possession-of-elephant-tusks-kenya/","Media","","","Land - Vehicle","Inside Vehicle","","","Operation","Confiscation & arrest","","","","","","","",""
"MOR30138","1. Seizure","Kenya","2020-09-09 00:00:00","3 Elephant tusks (14 kg) seized in Kitale - 1 arrested","https://www.standardmedia.co.ke/rift-valley/article/2001385978/kitale-police-seize-elephant-tusks-worth-sh1-4m","Media","https://africa.cgtn.com/2020/09/10/kenyan-police-arrest-poacher-with-14-kg-elephant-tusks/","","","On Person","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30333","2. Poaching / Illegal Harvesting","Kenya","2020-10-05 00:00:00","3 lion, 4 hyena and eland poached at Ol Chorro Conservancy","https://nation.africa/kenya/counties/narok/maasai-mara-wildlife-targeted-bush-meat-traps-2460782","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR30384","1. Seizure","Kenya","2020-09-01 00:00:00","Processed ivory worth 91,570 USD seized in Kajiado County - 1 arrested","https://citizentv.co.ke/news/man-arrested-with-processed-ivory-worth-more-than-ksh-10m-in-isinya-345567/","Media","https://www.kbc.co.ke/ivory-products-worth-ksh-10-million-seized-in-kajiado/","","Land - Vehicle","Inside Vehicle","","Items were confiscated while being transported using a motorcycle registration KMEW 993N.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30721","2. Poaching / Illegal Harvesting","Kenya","2018-06-21 00:00:00","Elephant killed in Ncoorolboro-Imenti Forest","https://allafrica.com/stories/201912110027.html","Media","","","","","","","","Arrest","","","","","","","",""
"MOR30722","5. Animal Injury / Mortality / Welfare","Kenya","2018-11-20 00:00:00","Three black rhinos found dead in Maasai Mara National Reserve","https://allafrica.com/stories/201811220255.html","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR30794","1. Seizure","Kenya","2020-10-01 00:00:00","8 Elephant tusks (48 kg) seized in Kitale, Trans Nzoia County, three suspects arrested","https://africanelephantjournal.com/kenya-police-arrest-three-with-ivory-worth-ksh-4-8-million/","Media","","","","On Person","","The items were placed in 3 backpacks","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR30838","1. Seizure","China","2020-10-10 00:00:00","3 strings of ivory beads and 4 ivory carvings seized at Guangzhou Baiyun International Airport coming from Kenya","http://english.customs.gov.cn/Statics/f928d773-14ee-4916-87bf-b4909f7a1160.html","Customs","http://www.customs.gov.cn/customs/xwfb34/302425/3325103/index.html","","Air","On Person","Under traveller's clothing","The string of ivory beads was found in the passengers luggage. The remaining ivory seized had been sewn into the suspects underwear.","","Confiscation","","","","","","","",""
